Data;Combustivel;PostoId;Posto;Marca;TipoPosto;Morada;Municipio;Preco;DataAtualizacao;Latitude;Longitude
2026-09-20;Gasolina simples 95;93904;SHELL Alfena;SHELL;Outro;Rua S.Vicente 2700;Valongo;2,164;2026-09-20 00:30;41,235897;-8,525714
2026-09-20;Gasolina simples 95;67803;BP Ermesinde;BP;Outro;Rua Jose Joaquim Ribeiro Teles;Valongo;2,169;2026-09-14 00:00;41,21409;-8,5501
2026-09-20;Gasolina simples 95;66706;E.S. GONDOMAR;REPSOL;Outro;Rua Novais da Cunha nº 973;Gondomar;2,174;2026-09-20 00:00;41,1423;-8,54902
2026-09-20;Gasolina simples 95;91022;BP - JM - Alfena;BP;Outro;R. Nossa Senhora do Amparo;Valongo;2,199;2026-09-14 09:15;41,23401;-8,49311
2026-09-20;Gasolina simples 95;94702;BP Gondomar Estrada D. Miguel;BP;Outro;Estrada Dom Miguel;Gondomar;2,199;2026-09-14 00:00;41,137436;-8,518573
2026-09-20;GPL Auto;66683;E.S. ERMESINDE;REPSOL;Outro;Rua Elias Garcia nº 460;Valongo;0,929;2026-09-15 00:00;41,220761;-8,558206
2026-09-20;GPL Auto;69387;Nunes, Alves & Filhos, Lda;REPSOL;Outro;Rua São Vicente, 1194;Valongo;0,929;2026-09-15 00:00;41,225674;-8,530641
2026-09-20;GPL Auto;93528;PRIO Fânzeres;PRIO;Outro;Rua Dr. Severiano 130, Fânzeres;Gondomar;0,939;2026-09-20 00:30;41,160137;-8,53055
2026-09-20;GPL Auto;65308;GALP-  Gondomar;GALP;Outro;Av.General Humberto Delgado;Gondomar;0,944;2026-09-20 17:45;41,14706;-8,531529
2026-09-20;GPL Auto;66729;REPSOL Rio Tinto II;REPSOL;Outro;Rua de Rebordões n.º 297;Gondomar;0,949;2026-09-20 08:10;41,18037;-8,568678
2026-09-20;GPL Auto;66734;E.S. VALONGO;REPSOL;Outro;Rua Fonsecas Dias nº 291;Valongo;0,949;2026-09-15 09:25;41,1857638888889;-8,48685555555556
2026-09-20;GPL Auto;66819;E.S. MURÇA;REPSOL;Outro;Variante à EN 15;Murça;0,969;2026-09-19 00:00;41,40636;-7,45023
2026-09-20;GPL Auto;67449;PRIO ERMESINDE Sta. Rita;PRIO;Outro;Avenida José Joaquim Ribeiro Teles, nº 280;Valongo;0,979;2026-09-14 00:00;41,20849;-8,54186
2026-09-21;Gasolina simples 95;76640;INTERMARCHÉ VALONGO;INTERMARCHÉ;Outro;Trav. António Augusto Castro Paupério, lote 36;Valongo;2,025;2026-09-18 20:00;41,18385;-8,4808
2026-09-21;Gasolina simples 95;80564;Distrijovim - Supermercados Lda - PA Intermarché Jovim;INTERMARCHÉ;Outro;Rua das Broas nº 40;Gondomar;2,039;2026-09-15 07:00;41,11732;-8,509337
2026-09-21;Gasolina simples 95;67262;AUCHAN Gondomar I;AUCHAN;Outro;Rua Exterior Circunvalação, 1730;Gondomar;2,049;2026-09-21 09:10;41,172474;-8,567009
2026-09-21;Gasolina simples 95;86645;INTERMARCHÉ ERMESINDE;INTERMARCHÉ;Outro;R. Gil Vicente, 75;Valongo;2,049;2026-09-21 09:15;41,21385;-8,55054
2026-09-21;Gasolina simples 95;93273;PRIO Gondomar;PRIO;Outro;Rua Nossa Sra de Fatima, n.2;Gondomar;2,064;2026-09-21 00:30;41,143928;-8,537891
2026-09-21;Gasolina simples 95;93392;E. LECLERC VALONGO;LECLERC;Outro;ELECLERC;Valongo;2,065;2026-09-21 06:00;41,196873;-8,510386
2026-09-21;Gasolina simples 95;77494;TF GEST - JOVIM;FREITAS;Outro;Rua D. Miguel, EM 614;Gondomar;2,079;2026-09-15 00:05;41,10776;-8,50938
